XML;1.0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROJECT_NAME;LA_TRANSFIGURACION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTHOR;DMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;26/06/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEVICE;DUETTO_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUBE;CU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_CM;63,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_CM;93,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_PIXEL;3020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_PIXEL;4456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CS_ORIGIN;TOP_LEFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POSITION;-;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146
XRF;Cr;0;225;0;46;84;57;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;968;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1487;44;0;0;0;0;78;0;0;0;0;0;53;0;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;44;0;0;0;339;305
XRF;Cs;254;833;671;584;598;822;919;893;1202;2102;1128;1463;1330;880;1725;1973;1748;1300;1271;1055;1349;1092;1082;787;619;272;569;1130;1814;540;641;522;1046;1119;1045;667;478;551;663;579;624;662;446;491;1175;776;859;1113;399;544;554;569;1354;1714;1730;1657;1371;1454;1143;476;1297;1044;1537;1643;586;744;1070;1136;880;590;547;666;705;463;453;740;719;698;749;735;356;308;268;504;603;415;604;551;772;957;806;758;667;1482;1851;1942;461;430;614;945;1392;1672;658;1109;1367;875;755;510;559;1592;1563;1465;1703;337;946;1661;638;215;361;1136;244;626;654;481;869;695;884;1009;187;375;842;367;479;289;352;655;642;766;547;678;1238;1454;319;1199;0;1000
XRF;Cu;6622;2023;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;70;82;0;0;0;0;426;381;350;489;0;0;0;0;0;0;0;0;902;0;0;0;0;0;0;0;0;0;853;735;535;575;809;244;327;277;0;215;0;140;234;0;192;588;636;554;553;469;254;0;261;0;0;0;760;0;0;0;0;0;220;371;393;177;224;445;0;0;0;474;0;725;407;0;762;1010;1029;0;313;0;224;262;0;0;0;0;63;160;228;146;141;173;0;0;0;0;0;240;0;0;327;0;48;0
XRF;Fe;23883;16507;15308;17872;18362;15326;14580;12335;7164;4283;6585;5640;8236;6718;1707;2290;3790;7606;8592;11585;2996;48343;91065;143624;139510;60954;104093;2421;3396;190485;40405;100948;9620;17959;18510;15359;58899;65790;123157;124467;100473;117797;36965;117997;46069;29582;31343;35544;69540;60712;67176;77789;3849;2642;2225;2217;3853;6329;16704;114342;7316;2119;2013;1685;48856;33233;37291;42154;54212;13978;13034;7587;14941;11839;16945;9150;15015;42881;25472;59444;117285;133773;79625;60634;44884;16997;11808;19736;21638;77464;94639;121878;89429;7002;9610;5954;11485;57669;79315;25680;6408;3509;110330;9363;11736;18714;22665;18848;43750;2097;2402;2046;2346;16855;3490;2912;4859;22383;25646;2911;144299;22687;34091;64590;15368;55510;27584;4895;63726;74669;131466;75201;138542;122031;58368;122880;81630;41662;129913;6035;14489;5200;25879;9934;180402;9204
XRF;Hg;636;210;0;0;0;301;0;0;0;0;0;412;1377;6447;0;380;0;0;0;258;1199;0;0;0;0;0;0;471;2075;0;0;230;377;541;0;0;0;0;0;0;0;0;0;0;231;0;0;0;1197;386;406;496;0;0;0;0;0;5010;0;0;0;0;0;0;0;0;0;0;0;5823;4350;3600;4612;723;1644;436;329;865;1362;1077;959;345;444;270;271;462;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;0;311;193;334;145;0;0;0;0;0;0;0;0;0;0;0;3140;214;1333;2966;0;4401;0;0;63;463;373;287;510;1008;0;0;0;0;0;0;444;0;474;0;0;26666
XRF;K;5887;7600;9837;11201;12189;11552;10296;9315;7091;4454;6269;3252;3265;2685;2053;2220;2482;3549;3821;4534;2405;14222;12639;14032;11147;5660;15373;2407;2467;11458;12851;14847;7312;6178;11152;11314;12093;11205;12925;17132;10997;9423;9598;16620;3994;2960;2221;3065;3429;4848;4645;5918;2554;2233;2402;2460;2270;2803;4543;21307;4349;1803;1835;1916;9837;8024;9955;12145;7679;3593;10388;6930;7378;10286;12000;10699;10199;9005;11300;11208;18366;14421;5325;15995;17006;12211;9444;15074;13679;5170;5423;5697;5061;3849;4272;3485;6855;7548;12485;2908;2538;2647;5103;9517;11589;13231;16413;13993;3514;2211;2384;2353;2685;5674;3289;3951;5858;20291;20946;4413;6055;9643;8929;7342;9363;5994;4766;1979;3537;20528;4565;1362;3186;3240;4190;9930;4675;5966;18182;5575;3480;2776;7737;6963;5675;9136
XRF;Mg;0;0;0;5,38;0;5,05;4,85;0;5,12;4,58;0;0;5,86;6,53;5,09;0;0;0;5,23;0;0;0;0;0;5,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,04;0;5,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,9;0;0;0;5,91;5,92;5,64;6,09;6,16;5,45;5,91;6,13;0;0;0;6,53;6,67;5,83;6,28;6,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,51;0;0;4,93;0;0;0;0;0;6,09;5,96;0;0;6,18;0;0;0;0;5,89;6,26;6,84;0;0;0;0;5,57;0;0;4,94;0;0;0;0
XRF;Mn;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;0;0;0;0;0;0;255;0;0;0;0;0;0;0;0;0;559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;690;0;630;0;0;0;0;0;0;0;153;0;0;0;255;0;1353;0;0;0;0;0;0;0;973;0;987;405
XRF;Ni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948;667;623;550;875;0;0;0;0;0;0;0;0;0;0;1064;1441;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774;1152;438;577;1009;0;0;0;0;0;0;0;0;1290;2328;2251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XRF;P;3295,02;5811,87;1191,1;935,27;1482,59;1039,68;1797,15;2643,07;3900,56;2228,73;1981,95;8045,18;7034,33;18559,1;4137,88;3711,77;6379,51;8434,24;11915,92;16931,61;5263,19;2776,14;4849,75;6213,82;6063,62;5597,52;7884,55;4806,48;4750,99;12008,03;1513,48;2413,15;4782,64;16386,86;2954,23;3011,19;2828,02;2746,3;5705,33;10173,85;13610,47;13748,52;1854,13;9818,59;13932,89;2552,9;3142,77;3487,46;4979,16;4953,99;5048,35;6983,48;6810,35;2518,06;2312,86;2579,64;4139,78;7975,85;2686,35;10620,5;1006,76;3188,89;1778,28;2987,21;3636,2;2999,81;1733,97;2654,12;3710,06;9991,47;0;1197,4;0;0;2064,44;2109,56;1324,48;6137,78;2592,73;3456,86;8559,5;19856,69;36776,66;4998,45;1051,05;0;1000,41;0;971;17774,39;13192,09;20967,43;17295,85;1671,74;1379,42;2849,86;2804,39;1305,45;2965,68;5803,1;2775,5;4274,5;29400,94;2292,64;1912,6;1381,75;3977,67;1406,68;18777,09;4092,6;4201,93;4594,48;4151,39;9672,57;3956,76;3427,2;2241,83;0;2584,97;3097,03;28127,99;2281,04;2226,01;2416,88;1870,75;5050,23;3037,06;5878,37;28463,82;3513,68;19367,34;14707,72;25971,42;11504,2;14106,33;15185,79;12522,62;7016;5386,16;3971;4504,5;3589,69;5096,97;1096,76;0;0
