Y;-;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472
XRF;Cr;0;184,77;0;0;33,17;0;262,1;496,3;31617,09;29327,93;8403,79;0;131,8;0;0;0;0;0;0;0;0;0;0;30,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44,97;44,29;0;0;0;0;472,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161,38;0;0;0;0;0;0;0;0;0;0;0;0;1117,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,08;0;0;0;0;0;0;0;0;0;0;267,75;0;0;56,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2292,56;30,86;0;0;0;0;0;1261,08;2892,48;149,48;0;0;51,15;0;101,13;0;761,37;0;0;0;0;0;0;0;0;279,03;0;0;0;82,49;0;0;480,31;0;0;0;0;0;0;0
XRF;Cs;147,83;203,24;349,44;481,33;646,77;476,13;400,56;200,77;88,93;90,78;385,19;848,32;674,5;764,33;792,28;1358,56;2172,26;1784,8;781,09;732,07;902,53;721,9;729,07;581,66;757,21;1423,41;1348,63;1411,31;1500,1;1208,69;945,27;740,08;770,98;1002,09;681,25;1010,66;815,29;2082,46;1472,06;1649,14;1640,78;1611,67;1120,3;630,23;612,21;645,17;625,78;1013,82;1470,61;1226,31;1581,97;1095,76;1061,29;1204,21;847,36;466,83;1056,67;775,77;1129,45;1054,94;1146,69;1222,07;983,01;1356,48;1544,26;699,44;944,52;566,6;510,66;968,36;799,16;1310,08;830,39;584,8;935,84;834,83;866,36;298,95;814,53;598,03;408,64;1148,86;837,44;733,62;669,53;2374,58;720,97;521,6;419,26;1052,34;708,56;586,89;500,65;777,21;510,68;1092,45;1032,17;1052,05;1537,06;713,62;892,05;577,09;468,31;687,55;929,66;532,18;851,98;1228,75;1919,2;2364,73;648,09;416,66;797,98;307,77;596,69;744,27;532,6;1778,97;781,34;856,45;757,28;735,8;439,53;1120,89;460,66;363,05;317,48;1492,44;295,26;1568,5;589,15;1034,89;748,78;157;334,77;869,06;463,62;676,65;1659,48;209,65;653,93;349,58;772,91;598,57;529,45;308,51;1244,22;657,16;862,89;1665,52;216,82;1125,78;891,99;632,42;484,93;393,3;430,1;378,01;604,93;1684,42;1747,59;1549,94;668,62;625,72;990,53
XRF;Cu;5269,41;1658,36;1746,87;1501,19;483,25;78,75;235,72;1151,97;735,3;1596,35;2843,52;0;184,67;0;0;0;0;0;0;0;0;0;0;0;441,4;0;0;0;426,22;0;0;101,03;232,84;0;0;1180,34;248,09;0;0;0;0;0;0;0;200,41;0;912,36;0;0;0;0;0;0;0;0;207,9;348,9;0;0;0;0;0;0;0;197,76;0;0;0;361,53;0;0;0;0;226,61;0;0;203,86;0;0;0;0;0;0;0;0;0;124,98;257,11;0;0;0;289,75;0;436,97;0;0;384,29;211,01;265,61;145,39;463,19;184,41;0;573,53;0;478,34;299,29;0;0;0;250,81;476,97;0;810,27;330,89;443,28;466,53;0;0;0;727,47;432,45;175,37;0;1129,64;182,51;627,9;0;784,35;0;0;556,23;180,16;151,81;1048,89;0;0;479,35;0;890,89;291,47;0;171,25;305,73;134,41;165,59;0;265,57;424,89;0;1125,5;0;0;157,48;167,15;173,11;0;310,81;429,93;0;0;0;236,31;0;280,46
XRF;Fe;45097,87;16293,27;9231,85;10584,14;10626,41;10703,66;18457,6;15613,49;87560,59;132590,16;55950,4;19003,63;20123,19;16079,68;9954,94;4747,2;2588,25;7373,95;14463,55;13929,24;13748,96;14063,57;19495,75;17536,52;12669,56;7998,09;5138,7;6770,42;10129,13;11497,6;12365,29;14453,68;14151,18;74825,13;54519,21;8053,37;49098,64;3017,32;3066,96;4956,25;11951,8;11662,44;14919,75;11352,19;50793,63;45354,05;15045,38;9056,92;7269,9;4764,61;6891,24;10821,77;13372,83;15611,57;12120,83;88249,86;10693,56;13208,51;11120,08;10241,29;8712,21;21112,38;12135,42;8326,14;12244,38;37161,84;126584,6;98928,88;35147,23;18990,18;88326,94;8018,25;48239,31;77798,52;9237,49;12226,25;28632,79;154044,23;119765,66;131740,53;113146,13;13891,77;111925,59;136748,17;139473,08;10479,7;103554,5;82505,74;104769,02;20229,79;28892,27;24680,12;88704,42;14320,51;127471,24;8461,93;62860,01;43804,12;10674,73;125848,5;7728,71;37393,57;50008,38;12525,51;43091,34;81855,02;43157,21;19850,7;3390,1;3747,52;18501,23;20517,59;15782,64;15310,56;98416;16265,34;73477,77;2497,52;49457,44;42151,3;33961,77;16847,35;104834,95;20005;14511,68;151525,47;19113,09;10887,59;27528,61;1930,68;111107,46;15241,66;45438,21;21890,02;24151,45;41094,91;63066,41;20823,27;7766,42;38642,44;10229,46;146243,14;232887,36;107204,42;76596,2;68647,43;14249,12;101733,77;97190,2;6502,95;48597,39;22091,59;89512,05;250031,3;182204,13;102012,01;24804,77;97512,7;95018,84;4374,49;4312;4210,72;127735,09;133422,53;115026,7
XRF;Hg;684,3;296,34;410,19;621,37;1067,37;1065,38;438,65;126,33;107,26;74,89;513,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;507,13;0;0;0;365,39;0;0;197,14;0;0;0;0;0;0;0;0;0;0;131,88;345,49;0;241,09;0;0;0;0;0;0;0;0;2158,44;1112,69;0;0;0;0;0;0;0;0;0;593,54;0;0;0;914,6;0;0;0;0;0;0;0;0;0;106,31;974,41;0;0;0;0;170,25;210,79;0;610,81;874,99;294,24;209,75;400,25;0;346,69;0;978,96;0;0;542,33;603,53;1046,41;0;0;499,82;871,51;0;0;0;94,22;280,14;505,64;0;343,52;1131,89;487,36;1927,73;255,91;0;615,57;0;233,41;314,43;211,5;431,98;381,38;2165,16;0;0;0;365,54;8057,44;1674,58;0;0;867,76;0;0;0;0;0;315,65;100,37;353,75;2082,4;0;232,14;0;0;356,19;0;0;242,42;245,61;0;89,91;1575,06;960,76;0;0;0;0;0;0
XRF;K;5084,66;6370,67;4751,45;3682,96;4068,83;5471,45;4423,51;6779,05;19079,39;13698,18;7920,23;11778,44;11437,68;10829,59;7143,78;4759,08;2387,48;3577,06;10709,4;12539,72;10893,16;9595,88;13679,81;12651,21;8995,83;3015,59;3260,14;3237,52;2667,18;3803,67;8086,55;11332,6;9169,93;13586,93;12372,27;11101,49;7772,24;2939,32;2262,57;4946,87;6402,32;4497,81;11252,27;8492,04;10377,24;11507,88;14178,79;7558,03;6348,36;2318,22;5814,21;7507,31;9389,85;11051,54;8756,24;6103,13;5595,4;10027,76;9870,61;8143,11;7968,34;3738,46;8041,66;6580,57;7793,59;10147,36;9577,63;15510,58;18934,52;9805,07;4248,78;3352,48;7450,98;11707,08;7323,64;9239,57;7580,39;14579,9;12606,63;13633,69;17649,07;3875,76;11251,89;15851,81;14700,82;2114,93;3975,46;10424,12;10148,41;2421,82;3872,63;4850,21;8382,99;6171,84;10383,45;2773,86;4168,62;4068,41;3176,64;13814,98;7884,53;5223,37;4409,88;8211,79;3380,21;5863;3497,82;3347,95;2638,69;2337,05;13773,34;14062,64;3194,79;6057,68;4738,81;6506,78;5965,18;2356,81;2614;9465,14;7281,17;12655,61;3318,88;3679,24;6362,16;10679,15;12248,01;2636,92;21762,02;1877,14;15761,48;4478,7;7693,78;15206,08;21137,28;8974,34;6867,75;12546,82;3804,9;17372,26;4500,14;19397,61;3264,45;8040,19;6052,15;6606,75;8699,53;5117,2;5351,55;3773,15;18686,69;3008,14;8594,71;3840,82;4999,08;3617,22;3087,46;2572,69;4324,87;3797,33;4400,98;3651,71;8176,36;9910,41;8822,38
XRF;Mg;7,41;0;0;0;0;0;0;6,47;0;8,19;5,75;6,24;5,14;0;0;0;0;0;0;0;0;0;0;0;0;5,04;0;0;5,03;5,06;0;0;5,92;4,75;5,68;0;0;0;4,98;0;5;0;4,97;0;5,65;5,69;5,66;0;0;0;0;0;0;0;0;6,48;0;5,21;0;0;0;0;0;0;0;0;0;6,07;5,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,69;0;0;0;0;0;5,95;0;0;0;0;0;0;4,86;0;0;0;0;0;0;0;0;0;0;0;4,7;4,25;0;0;0;0;0;0;0;0;5,4;0;0;0;0;0;5,36;0;0;4,4;0;4,4;6,14;0;0;0;0;0;0;0;0;0;0;0;0;0;5,97;0;0;0;0;0;0;4,89;0;0;6,71;0;0;0;0;0;0;4,88;0;5,98;0
XRF;Mn;571,35;317,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1643,61;0;0;0;0;0;0;0;0;0;0;1207,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282,8;521,32;0;0;0;351,91;404,25;315,42;0;362,42;556,4;822,91;0;0;0;0;0;0;0;0;588,46;0;748,18;0;502,47;830,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1814,41;0;0;0;0;0;0;0;0;0;0;422,9;3174,89;289,52;425,49;0;0;0;0;0;0;0;354,23;955,21;245,54;0;0;0;0;0;416,23;0;0;0;1165,57;0;0;3591,04;2107,93;0;0;0;0;0;684,1
XRF;Ni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2593,66;0;0;0;0;0;0;0;0;216,1;0;2036,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;817,36;0;0;516,34;0;0;0;0;0;0;391,53;866,19;0;0;0;0;0;0;0;0;0;1009,36;0;0;0;0;1157,15;0;1483,3;0;0;0;0;0;2509,59;0;0;646,91;0;1218,12;553,76;0;0;0;160,88;0;0;0;0;0;2347,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XRF;P;3311,24;6495,06;4957,35;5381,42;5225,98;3678,47;4161,06;5681,58;24242,9;26134,93;8945,28;1622,13;1766,04;1787,07;3148,59;3429,41;4252,63;8960,25;2588,12;3173,05;2483,7;3438,42;2118,93;0;2584,94;8211,03;9341,35;7614,23;16762,07;10699,9;3447,11;3309,6;3137,87;5122,09;2534;7632,46;4137,91;4031,81;6860,95;3702,21;3623,3;13568,86;3169,63;0;4844,84;2746,77;9115,79;2930,48;3924,11;8797,22;3497,02;3478,25;2271,38;3227,6;3934,14;6839,97;6647,11;2808,53;2212,41;1890,63;4288,31;6674,61;2947,79;3231,71;3514,08;3834,35;11248,45;3937,78;2288,42;2404,82;1917,05;4104,58;8836,24;4798,03;2187,27;1568,6;4154,57;13494,11;18606,14;15061,79;5407,18;6516,67;10472,64;15001,09;15689,22;11180,2;34985,25;4449,55;33059,23;11482,31;15868,86;20798,93;18906,74;13216,8;29454,44;9612,77;23199,29;17508,6;3972,33;28476,35;4850,18;9878,17;25092,61;5705,87;3265,26;4555,18;7245,63;16411,02;3423,91;3430,21;2746,81;12139,58;3875,51;10609,83;12554,98;2989,19;5159,77;11131,46;6716,28;3047,03;5677,25;1489,49;20872,44;5760,49;7804,3;53587,3;6548,48;3962,08;0;3962,08;8309,59;3935,49;3472,65;3601,2;9352,17;2731,92;1708,07;4317,54;3094,8;49599,07;0;11356,2;9082,67;18529,83;2985,82;2604,44;4247,42;35459,46;21548,53;4025,16;2685,58;7912,16;3964,55;10216,53;20872,74;33992,09;3212,49;61003,08;25776,84;3269,86;2505,32;2971,89;13268,48;15876,43;11343,54
XRF;Pb;146,87;191,8;347,42;499,7;1497,6;1167,81;656,55;216,6;102,5;90,59;364,47;721,13;622,42;711,34;734,23;1268,23;1990,7;1544,58;732,29;679,19;741,26;652,67;585,98;533,26;696,4;1306,15;1251,51;1301,98;1411,11;1151,5;876,54;630,69;692,71;848,97;640,28;922,91;762,41;1821,78;1343,41;1531,74;1490,14;1436,91;957,1;595,84;655,43;602,11;595,89;917,77;1356,39;1133,19;1446,28;1105,17;1006,75;964,07;780,75;418,86;999,81;728,83;1033,91;998,65;1069,77;1195,05;907,32;1229,48;1311,64;597,21;788,52;534,1;480,72;895,72;752,04;1247,51;785,6;563,45;858,75;754,79;757,27;287,49;720,32;529,78;379,24;967,08;734,7;617,61;592,97;2056,87;651,05;491,62;397,25;977,17;664,92;574,39;497,82;745,8;485,51;1031,55;961,14;927,98;1325,19;612,8;809,08;541,98;463,51;645,51;873,73;504,17;820,75;1177,08;1620,93;1928,37;575,04;411,12;748,62;304,75;579,21;687,84;516,16;1649,01;744,71;752,43;646,62;622,71;425,99;1062,37;449,76;367,28;321,85;1393,25;290,29;1398,8;546,82;871,78;691,25;162,72;327,92;824,69;432,58;637,37;1524,73;203,88;624,06;330,66;651,59;524,58;489,21;305;1137,79;616,71;807,66;1584,4;210,48;1060,56;810,51;543,39;432,17;386,67;403,62;390,78;556,77;1497,35;1596,2;1401,41;632,06;544,27;845,41
XRF;Pd;61,96;59,14;96,14;127,48;201,49;155,78;138,35;74,19;31,41;40,68;99,81;258,56;208,36;311,38;306,15;563,12;936,62;691,99;352,34;272,83;207,02;193,91;215,37;228,71;346,77;536,27;553,42;650,34;644,19;489,02;392,63;221,03;183,83;281,89;340,29;546,23;389,83;850,92;690,91;702,67;767,27;692,14;319,68;180,76;133,25;314,31;270,94;406,25;642,01;546,65;696,89;440,36;399,11;290,39;220,88;118,19;406,67;307,69;442,48;477,43;453,16;526,14;406,64;657,37;472,41;179,13;228,79;240,78;238,23;441,6;385,94;589,76;387,94;265,6;353,44;233,35;255,25;90,54;238;141,22;95,55;317,19;219,37;192,46;205,41;717,54;185,61;164,12;99,58;370,71;301,61;231,24;196,25;286,83;229,54;454,23;397,41;348,03;388,46;186,69;331,12;247,73;222,48;305,3;386,1;265,63;359,98;462,7;420,06;855,62;196,67;175,94;379,2;156,38;232,13;316,02;287,77;733,9;324,48;222,43;196,03;211,39;217,43;459,66;229,5;174,28;145,76;656,89;124,19;736,23;171,89;284,97;239,66;59,67;153,28;414,51;206,26;305,94;802,88;106,78;292,54;141,47;193,45;188,6;167,95;140,94;480,04;338,42;403,54;864,31;84,62;467,68;335,22;167,13;135,86;140,38;149,31;162,79;242,03;745,63;819,27;752,08;268,8;195,36;313,43
XRF;S;132781,3;124612,18;160186,2;201144,25;187321,83;184699,14;143991,3;133693,09;31823,18;42882,98;82319,26;98731,88;93535,91;111210,58;148044,69;178286,09;245365,3;229729,19;113368,17;106749,15;69424,22;124172,63;81828,59;64991,29;132101,27;219160,14;218083,09;234091,52;226953,78;193833,47;142059,84;122344,8;120930,97;67677,51;67757;154605,34;129897,93;223160,64;255093,2;206440,98;216133,61;199580,39;134284,63;123929,47;79412,83;70710,26;107020,05;166642,89;201556,92;243590,63;173725,41;165936,81;133925,22;120819,45;134139,41;54562,72;154062,95;111916,56;131924,45;128086,01;151556,34;145998,13;133216,92;172561,16;146407,72;99923,19;50686,5;34272,99;52395,21;124854,82;94781,54;176130,09;92475,11;41762,53;102223,67;102564,79;68437,72;32062,75;34828,55;32480,02;33207,12;167369,66;37747,08;28492,99;26649,28;218076,14;76093,66;47616,21;25785,72;174897,09;139966,19;79803,71;35109,5;102290,8;37649,22;121786,02;117717,3;117496,57;175997,67;34954,61;111668,95;106504,82;81271,98;110217,66;142055,84;50954,5;90014,91;159854,3;197464,64;212381,05;59464,94;41598,86;191213,53;69124,18;82816,17;111379,16;60129,37;217542,98;141951,88;108346,91;69222,83;60378,45;49146,95;142248,52;73387,85;29533,95;38639,06;186900,23;32437,98;203055,2;60946,21;127043,16;84130,32;51450,46;29237,25;110372,57;78652,47;40325,87;200615,47;37943,39;183983,42;36788,09;38037,19;45042,21;89287,19;79109,85;136400,17;84785,19;85443,94;217804,67;25425,13;154221,36;90533,97;34592,24;39805,13;61990,74;95891,94;23285,72;68516,04;200778,95;197345,34;183881,59;58328,09;58149,81;53699,44
XRF;Sb;89642,35;85193;127498,48;159182,06;182235,58;143904,89;129774,09;80524,97;51798,95;55686,67;168450,98;370713,5;335480,91;571204,5;443808,22;696817,5;1117077,13;822779,38;560290,13;237788,72;335302,66;196368,8;227304,27;480213,19;554599,38;680715;685987,5;623188,5;766342,06;479035,88;523875,28;166916,36;196173,34;343666,5;446038,66;670390,5;450819,91;1042868,88;657021,75;889956,5;703453,44;704191,88;252729,94;164075,22;222282,5;393090,91;395828,19;530010,38;769091,19;573836,31;738727,69;604299,94;568384,56;364261,53;225963,56;140291,42;606949,25;499833;687253,38;745941,75;719621,5;701118,25;574701,5;799391,13;412631,06;190801,7;360176,47;420690,88;422620,19;652441,94;708109,25;817563,94;577362,63;423179,91;748513,25;244945,42;263829,16;91185,18;245198,28;158079,38;107695,15;212810,59;215948,52;233238,59;210168,64;617102,88;206582,16;208750,47;120518,52;384963,41;445219,09;377887,84;358051,09;555661,56;474526;757192,5;661615,75;324563,22;431469,16;200772,11;461690,38;361597,13;339638,91;563199,5;599319,69;434734,28;573059,44;614162,75;373902,5;974710,63;178173,48;313081,25;438430,97;254244,72;388011,13;448071,88;406069,34;899754,75;470209,41;238641,77;354745,28;235363,63;313058,28;620552,88;397902,56;304930,75;296993,72;1004054,69;279971,78;846747,94;227603,17;309538,25;333703,5;68780,09;307925,38;458343,06;326560,5;621003,69;1048625,25;226487,06;386642,31;224737,17;233391,97;263302,5;154730,25;236147,27;695827,19;410976,25;599040,56;998793,25;239255,7;657058,25;474958;170076,72;186801,81;167035,47;148713,3;326013,88;414116,84;994108,19;973469,25;1004582,25;482826,38;208077,38;330165,75
XRF;Sc;106,79;0;0;0;108,78;161,44;0;0;0;0;180,04;0;0;0;0;0;0;0;0;0;0;82,28;0;60,82;0;0;0;0;0;0;48,26;0;0;0;0;0;0;29,22;0;0;57,67;0;0;0;153,79;0;0;0;0;0;0;0;0;0;49,17;0;0;0;0;0;0;0;0;0;0;0;0;218,62;0;0;0;44,86;0;0;0;0;0;0;219,65;268,78;0;0;0;278,86;279,39;0;0;119,5;162,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,25;0;0;0;0;200,33;0;0;128,76;0;0;0;167,04;77,01;76,15;0;0;0;0;0;0;0;0;306,77;0;0;85,98;0;0;40,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XRF;Se;76,63;75,99;161,51;216,13;230,05;132,29;140,74;95;42,29;36,32;106,87;183,8;239,32;259,13;509,22;514,73;915,12;762,84;465,51;242,19;294,06;185,06;151,62;361,37;399,76;546,17;718,74;619,47;612,4;549,84;462,1;155,34;174,59;220,01;352,06;454,31;503,72;683,63;522,21;790,43;697,25;717,89;228,89;134,44;185,09;289,68;355,41;572,21;744,47;670,13;579,37;552,35;504,24;167,01;154,17;199,31;748,2;522,37;645,18;683,48;937,89;826,11;640,13;815,69;348,1;161,28;168,91;324,58;368,71;544,93;456,29;791,44;652,51;395,54;509,41;198,15;248,06;85,4;196,24;75,25;113,26;222,83;245,38;181,39;157,02;456,04;199,38;167,38;137,08;384,44;460,37;310,8;361,34;465,83;317,51;561,48;512,94;254,47;416,13;170,2;466,81;380,92;377,74;638,12;546,44;363,61;554,1;569,77;323,47;677,19;162,37;309,03;447,97;328,84;402,06;429,22;391,55;747,63;498,72;205,37;318,6;158,74;330,67;676,63;503,42;220,73;291,8;860,33;153,67;665,09;227,04;280,99;640,54;420,35;274,99;358,45;364,54;539,93;604,7;198,63;436,1;197,41;112,64;141,35;167,77;242,53;577,26;461,33;504,96;779,33;127,33;517,94;289,69;102,68;167,5;188,61;181,87;354,13;398,1;571,85;799,65;779,64;284,34;202,25;244,44
XRF;Si;44695,43;59727,51;67572,14;30828,15;27792,21;41474,14;42488,39;67992,02;71777,59;85220,58;54153,07;56038,09;92507,86;101684,58;75681,78;51305,34;19347,59;30908,08;72720,12;76444,5;58090,34;49423,81;72652,29;123364,66;64807,3;31178,89;33737,96;28766,88;24903,32;50282,02;86823,91;82360,91;58688,52;93427,61;98339,95;67506,11;76455,45;34178,09;23755,79;41124,37;16445,35;41612,25;85078,82;76973,77;57243,23;100249,98;89973,81;70125,04;68917,56;19835,19;31884,65;74727,94;93159;90130,48;64475,21;28651,54;47885,37;91966,48;76389,95;62619,07;86514,05;50233,69;87635,32;63788,5;64344,99;76369,25;30330,07;67250,4;66279,61;35025;23064,38;14618,57;28601,77;45920,25;32056,31;57181,76;60227,87;83871,25;49974,76;71329,7;89062,16;54496,51;46192,69;42253,05;43554,75;20311,9;18875,04;60291,33;63506,1;23851,6;17112,41;39063,39;55265,49;28837,86;39236,77;11418,77;29748,52;19780,57;39486,87;74081,54;44578,61;35037,19;33321,89;44562,88;9453,1;10110,72;10553,6;18998;7725,36;10384,92;115350,52;129609,24;11356,6;12132,83;25031,51;39633,86;12171,49;11428,76;12307,36;31671,98;13460,95;78957,19;21047,05;17324,85;11273,7;40125,02;68552,74;9972,46;153870,34;9972,46;87704,95;11479,24;16770,5;26954,41;27094,58;38319,92;69696,26;69555,28;7357,44;93288,5;0;98272,38;18022,68;21829,96;42722,99;32386,49;14558,82;43169,63;38941,98;13557,98;92894,6;16494,99;26463,61;20638;24347,84;16317,39;20382,84;19941,31;15805,17;16187,79;74325,37;31309,69;32926,2;56997,07;48140,81
XRF;Sn;91,04;136,91;204,21;270,17;383,44;276,45;226,7;138,77;485,13;339,29;328,46;442,65;452,98;501,73;517,83;923,19;1433,42;1126,06;524,42;427,57;465,19;407,58;391,63;388,79;511,44;894,78;853,61;918,34;916,85;737,68;625,55;425,14;403,16;547,23;432,7;667,3;529,95;1288,54;980,17;1090,61;8792,23;1368,05;571,38;364,27;318,49;423,13;392,88;677,11;955,2;773,28;1010,49;1800,74;667,87;637,36;473,78;250,93;659,2;498,58;739,16;702,22;751,43;790,65;677,05;842,51;788,16;374,99;477,33;352,61;552,66;3420,5;1226,27;2829,77;519,4;380,71;611,25;446,39;433,08;169,08;403,57;309,38;236,14;583,45;476,6;379,76;346,9;1233,64;409,72;287,5;239,63;649,02;464,18;388,19;314,25;526,11;340,51;668,37;702,7;592,83;764,72;393,01;514,29;351,99;317,68;479,83;594,62;340,45;520,86;800,94;983,55;1308,79;349,06;294,71;560,12;222,98;426,6;476,29;331,72;1162,6;528,17;545,5;412,72;440,63;298,55;715,37;294,92;237,34;221,1;1032,78;212,17;1028,24;340,58;534,02;399,3;107,44;229,39;3634,08;306,82;485,66;10892,27;156,7;452,83;214,58;416,31;333,05;329,38;1232,48;12671,94;459,61;571,24;5852,38;151,54;717,99;6915,95;365,69;287,84;302,56;371,58;286,24;388,71;1780,04;1385,42;1400,85;444,41;347,39;511,58
XRF;Sr;171,03;132,79;107,84;154,18;1332,1;132,04;3085,95;159,32;3427,58;3114,84;2846,84;202,91;381,69;539,46;851,73;275,47;513,96;477,32;229,93;158,06;157,52;150,07;194,32;388,83;507,78;3023,29;644,74;362,27;689,52;389,29;353,52;145,25;140,49;202,29;266,68;473,35;237,69;475,8;727,15;730,89;228,3;501,5;222,21;123,28;748,93;274,93;251,79;250,06;276,58;258,08;353,78;347,07;299,86;199,76;154,06;227,49;315,95;386,17;217,57;544,45;2187,89;455,27;271,7;229,37;213,59;108,47;196,08;209,88;152,52;353,21;356,48;338,04;413,79;542,74;343,51;112,14;255,98;47,69;163,59;111,85;0;151,8;85,37;198,85;119,95;349,83;158,16;234,49;83,31;273,29;327,31;333,38;282,5;338,07;299,52;501,76;289,04;299,63;303,09;89,27;384,54;181,41;354,43;371,34;271,34;322,91;500,84;379,7;216,84;528,15;194,28;797,86;371,52;150,62;222,32;397,8;295,87;360,2;189,1;135,06;447,46;167,35;335,94;439,95;232,63;339,76;462,28;540,13;215,29;413,5;151,42;241,96;1383,05;276,58;398,98;304,12;233,9;709,1;447,15;367,94;153,68;249,7;150,92;330,08;81,54;232,67;317,13;283,99;381,94;462,59;453,21;307,78;252,84;108,11;188,04;132,12;129,87;518,91;253,15;456,29;624,32;354,07;353,98;129,86;260,45
XRF;Te;344,62;469,23;780,47;1005,52;1394,71;1039,72;881,11;480,75;224,98;213,35;801,18;1625,25;1411,4;1751,49;1746,49;3061,4;4848,88;3811,33;1753,99;1614,52;1800,04;1571,47;1483,82;1249,94;1706,76;3009,97;2983,27;3134,58;3256,97;2560,4;2156,88;1497,47;1652,36;2044,43;1472,24;2278,33;1809,74;4507,88;3315,86;3749,65;3779,96;3484,56;2343,23;1414,18;1319,09;1406,84;1383,99;2206,61;3259,57;2787,19;3491,85;2525,15;2381,37;2321,29;1768,08;962,28;2298,06;1740,06;2535,96;2379,07;2546,49;2742,85;2165,53;3025,34;3090,8;1448,37;1913,57;1261,95;1210,08;2165,04;1815,99;3043,1;1831,7;1310,51;1958,5;1783,16;1747,52;683,88;1705,31;1245,93;939,07;2384,77;1749,08;1518,45;1461,97;4829,15;1577,17;1075,95;893,79;2312,24;1651,91;1285,85;1138,11;1783,28;1168,96;2395,66;2362,22;2309,06;3221,43;1482,91;1898,52;1341,81;1045,06;1554,91;2108,62;1206,31;1877,28;2756,31;3912,24;4682,76;1413,91;958,61;1814,95;672,07;1320,51;1674,36;1192,16;3894,55;1805,72;1767,08;1568,53;1632,41;1029,86;2450,86;990,89;819,64;732,79;3284,66;675,61;3513,38;1266,46;2067,24;1475,3;394,07;757,63;1915,47;1067,34;1537,97;3600,55;482,9;1523,2;814,45;1587,07;1250,93;1197,2;726,63;2617,16;1510,11;1964,64;3674,45;476,93;2468,56;1984,06;1306,97;1036,5;901,75;975,51;839,92;1394,68;3540,17;3892,35;3438,5;1454,72;1298,08;1948,54
